Job title,Job description,Location,Job time
Head of Marketing Department,TH F & B Investments ,"Heliopolis, Cairo, Egypt",Full Time
Budgeting & Reporting Section Head,Confidential ,"6th of October, Giza, Egypt",Full Time
Marketing section head (Real Estate),AlGammal Contracting ,"Nasr City, Cairo, Egypt",Full Time
Medical Specialist (Research) - Alexandria,Caduceus Lane ,"Alexandria, Egypt",Full Time
Junior sales Excetuive,Ahram Security Group ,"Cairo, Egypt",Full Time
Chief Financial Officer (CFO),Confidential ,"New Cairo, Cairo, Egypt",Full Time
Dynamics AX Functional Consultant,Egypt Gold  ,"Heliopolis, Cairo, Egypt",Full Time
Senior React Native Developer,Our Education ,"Nasr City, Cairo, Egypt",Full Time
SEO Manager,Confidential ,"Mohandessin, Giza, Egypt",Full Time
Senior Microsoft System Consultant,Global Brands ,"New Cairo, Cairo, Egypt",Full Time
Internal Auditor,Confidential ,"Mohandessin, Giza, Egypt",Full Time
Senior Full Stack Developer,3S Software ,"Nasr City, Cairo, Egypt",Full Time
Cost Accountant,Multi M Group  ,"khanka, Qalubia, Egypt",Full Time
Internal Auditor,Confidential ,"Heliopolis, Cairo, Egypt",Full Time
Foreign Purchasing Specialist,Misr Elhegaz Group ,"Heliopolis, Cairo, Egypt",Full Time
Senior SAP FICO Consultant,Elhazek Construction ,"Downtown, Cairo, Egypt",Full Time
Full Stack Developer (Junior or mid level) (.net - angular/react),MiracleEgypt ,"Hadayek Alahram, Giza, Egypt",Full Time
outdoor Sales Representative,AGF  Panel ,"New Nozha, Cairo, Egypt",Full Time
Accounting Supervisor,Confidential ,"Cairo, Egypt",Full Time
Senior Java Developer,ARPUPLUS ,"Giza, Egypt",Full Time
Credit Officer,Confidential ,"Maadi, Cairo, Egypt",Full Time
Senior Software Tester,Confidential ,"Maadi, Cairo, Egypt",Full Time
Sales Force Effectiveness Manager,Confidential ,"Maadi, Cairo, Egypt",Full Time
MEAN Full Stack Developer,Confidential ,"Cairo, Egypt",Part Time
Senior Financial Auditor,MBCC Egypt ,"Cairo, Egypt",Full Time
Financial Planning & Analysis Assistant Manager,Network International -Egypt ,"New Cairo, Cairo, Egypt",Full Time
Associate Business Researcher (Skyminder),CRIF EGYPT ,"Heliopolis, Cairo, Egypt",Full Time
Associate Business Researcher - Skyminder,CRIF EGYPT ,"Heliopolis, Cairo, Egypt",Full Time
Senior SOC Engineer,Union Coop ,"Dokki, Giza, Egypt",Full Time
Marketing Specialist,Confidential ,"Haram, Giza, Egypt",Full Time
Intellectual Property/Patent Engineer,Elaraby Group ,"Banha, Qalubia, Egypt",Full Time
Test Lead,Agile Technologies  ,"Cairo, Egypt",Full Time
Research Project Coordinator,Confidential ,"Cairo, Egypt",Full Time
Senior .Net Software Developer,BI-Technologies ,"New Cairo, Cairo, Egypt",Full Time
Cost Accountant,Confidential ,"Badr City, Cairo, Egypt",Full Time
Research Scientist (Agricultural microbiology),HITS Technologies  ,"Nasr City, Cairo, Egypt",Part Time
Cost Accountant,Midea Group ,"6th of October, Giza, Egypt",Full Time
Workforce Management Specialist,Centro CDX ,"Maadi, Cairo, Egypt",Full Time
Chief Financial Officer,Downtown Katameya ,"New Cairo, Cairo, Egypt",Full Time
Market Researcher - French language Speaker,Infotech ,"Nasr City, Cairo, Egypt",Full Time
Market Researcher - English language Speaker,Infotech ,"Nasr City, Cairo, Egypt",Full Time
Pricing Specialist,Confidential ,"New Nozha, Cairo, Egypt",Full Time
Full Stack Developer,SEOS7 ,"Giza, Egypt",Full Time
Bioinformatician (Proteomics & Drug design),HITS Technologies  ,"Nasr City, Cairo, Egypt",Part Time
Planning & Budgeting section head,Egyptian Countryside Development Company  ,"Nasr City, Cairo, Egypt",Full Time
.Net Core/ Angular Full Stack developer,Manzoma ,"Sheraton, Cairo, Egypt",Full Time
Monitoring and evaluation specialist | NGO,Confidential ,"Nasr City, Cairo, Egypt",Full Time
Searching Engine Optimization (SEO) Specialist Freelance,Rashid Al Jabri Group ,"Alexandria, Egypt",Full Time
Software Quality Control Team Lead,Confidential ,"Maadi, Cairo, Egypt",Full Time
Senior Oracle Financial Consultant,Solera ,"Cairo, Egypt",Full Time
Full-Stack developer (Laravel),Viteeka Tech and Electronics ,"Haram, Giza, Egypt",Full Time
Category Manager TVs,Raya Distribution ,"Maadi, Cairo, Egypt",Full Time
Profile Specialist,Argaam ,"Mohandessin, Giza, Egypt",Full Time
Full Stack Web Developer,Misr University for Science and Technology ,"6th of October, Giza, Egypt",Full Time
Accountant,Confidential ,"Jeddah, Saudi Arabia",Full Time
Senior Solutions Consultant,IST Networks ,"Smart Village, Giza, Egypt",Full Time
Market Research Specialist,Cairo Three A Poultry ,"New Cairo, Cairo, Egypt",Full Time
Regional Account Relationship Team lead,Fawry for Banking Technology and Electronic Payments S.A.E ,"6th of October, Giza, Egypt",Full Time
Full Stack Developer,BPOHIVE ,"Cairo, Egypt",Full Time
Senior Full Stack Dot Net Developer,Nahr Development ,"Mokattam, Cairo, Egypt",Full Time
Software Tester | Core Banking,Expleo ,"Maadi, Cairo, Egypt",Full Time
Sales Support Administrator,Aman ,"Maadi, Cairo, Egypt",Full Time
Cost Accountant,Mozare3 ,"Sheikh Zayed, Giza, Egypt",Full Time
HR Organization Development Team Leader,Andalusia Group ,"Maadi, Cairo, Egypt",Full Time
Senior Java Software Developer,FlairsTech ,"Maadi, Cairo, Egypt",Full Time
Systems Business Consultant-Primavera Unifier,Confidential ,"New Cairo, Cairo, Egypt",Full Time
Financial Planning And Analysis,Confidential ,"Nasr City, Cairo, Egypt",Full Time
Market Research Specialist,Elmarakby Steel ,"Giza, Egypt",Full Time
Budgeting & Costing Manager,Confidential ,"Heliopolis, Cairo, Egypt",Full Time
Security Engineer,Link Datacenter ,"Giza, Egypt",Full Time
Research Operations Manager,Infotech ,"Nasr City, Cairo, Egypt",Full Time
Senior Full Stack Developer/Frontend,Confidential ,"Nasr City, Cairo, Egypt",Full Time
Senior Financial Analysis Specialist,Jamjoom Pharma ,"Cairo, Egypt",Full Time
SAP Consultant,MB for Engineering ,"Dokki, Giza, Egypt",Full Time
Senior Java Backend Developer,FlairsTech ,"Maadi, Cairo, Egypt",Full Time
Social Media Specialist,Elattal Holding  ,"Heliopolis, Cairo, Egypt",Full Time
